id,gid,x,y,v_x,v_y,radius,time
0,0,-2.767623,-1.313976,1.049194,0.050956,0.750000,5.000000
1,0,-2.679736,1.760068,1.462728,-0.290716,0.750000,5.000000
2,1,-6.616082,0.297255,-1.396337,-0.035877,0.750000,5.000000
0,0,-2.646236,-1.303165,1.213864,0.108117,0.750000,5.100000
1,0,-2.538604,1.735116,1.411322,-0.249522,0.750000,5.100000
2,1,-6.747751,0.291856,-1.316692,-0.053997,0.750000,5.100000
0,0,-2.527908,-1.284609,1.183284,0.185561,0.750000,5.200000
1,0,-2.406019,1.721666,1.325852,-0.134496,0.750000,5.200000
2,1,-6.885838,0.278210,-1.380866,-0.136458,0.750000,5.200000
0,0,-2.402589,-1.299203,1.253191,-0.145947,0.750000,5.300000
1,0,-2.250760,1.682474,1.552593,-0.391917,0.750000,5.300000
2,1,-7.013379,0.280833,-1.275412,0.026228,0.750000,5.300000
0,0,-2.289148,-1.291666,1.134406,0.075369,0.750000,5.400000
1,0,-2.113638,1.670786,1.371214,-0.116878,0.750000,5.400000
2,1,-7.132357,0.288933,-1.189781,0.081005,0.750000,5.400000
0,0,-2.173622,-1.302095,1.155265,-0.104288,0.750000,5.500000
1,0,-1.975340,1.693862,1.382979,0.230757,0.750000,5.500000
2,1,-7.259399,0.278811,-1.270422,-0.101218,0.750000,5.500000
0,0,-2.044473,-1.298840,1.291491,0.032554,0.750000,5.600000
1,0,-1.833273,1.718478,1.420673,0.246158,0.750000,5.600000
2,1,-7.397835,0.267973,-1.384355,-0.108380,0.750000,5.600000
0,0,-1.917853,-1.311049,1.266195,-0.122092,0.750000,5.700000
1,0,-1.698080,1.723785,1.351934,0.053070,0.750000,5.700000
2,1,-7.528421,0.260579,-1.305863,-0.073942,0.750000,5.700000
0,0,-1.774961,-1.322990,1.428924,-0.119411,0.750000,5.800000
1,0,-1.577771,1.733034,1.203084,0.092488,0.750000,5.800000
2,1,-7.657384,0.243657,-1.289631,-0.169225,0.750000,5.800000
0,0,-1.625155,-1.331201,1.498056,-0.082107,0.750000,5.900000
1,0,-1.459846,1.736301,1.179249,0.032671,0.750000,5.900000
2,1,-7.788722,0.235130,-1.313373,-0.085270,0.750000,5.900000
0,0,-1.492292,-1.326323,1.328630,0.048774,0.750000,6.000000
1,0,-1.316917,1.732756,1.429293,-0.035448,0.750000,6.000000
2,1,-7.908906,0.220267,-1.201844,-0.148630,0.750000,6.000000
0,0,-1.359985,-1.312038,1.323073,0.142856,0.750000,6.100000
1,0,-1.185154,1.735206,1.317634,0.024503,0.750000,6.100000
2,1,-8.038372,0.211258,-1.294661,-0.090087,0.750000,6.100000
0,0,-1.220775,-1.306621,1.392097,0.054167,0.750000,6.200000
1,0,-1.060996,1.739638,1.241578,0.044316,0.750000,6.200000
2,1,-8.165693,0.214455,-1.273213,0.031966,0.750000,6.200000
0,0,-1.092258,-1.295152,1.285171,0.114691,0.750000,6.300000
1,0,-0.930101,1.739717,1.308950,0.000785,0.750000,6.300000
2,1,-8.306319,0.240326,-1.406256,0.258718,0.750000,6.300000
0,0,-0.959416,-1.288350,1.328423,0.068024,0.750000,6.400000
1,0,-0.799151,1.741463,1.309498,0.017463,0.750000,6.400000
2,1,-8.437358,0.266519,-1.310394,0.261925,0.750000,6.400000
0,0,-0.820380,-1.280851,1.390356,0.074989,0.750000,6.500000
1,0,-0.667254,1.745673,1.318972,0.042105,0.750000,6.500000
2,1,-8.572113,0.264390,-1.347543,-0.021289,0.750000,6.500000
0,0,-0.687003,-1.274085,1.333773,0.067652,0.750000,6.600000
1,0,-0.521530,1.751286,1.457240,0.056125,0.750000,6.600000
2,1,-8.714598,0.265787,-1.424853,0.013972,0.750000,6.600000
0,0,-0.549940,-1.271969,1.370634,0.021160,0.750000,6.700000
1,0,-0.411968,1.744473,1.095615,-0.068133,0.750000,6.700000
2,1,-8.846301,0.274991,-1.317036,0.092040,0.750000,6.700000
0,0,-0.418666,-1.272488,1.312741,-0.005190,0.750000,6.800000
1,0,-0.301843,1.735471,1.101253,-0.090017,0.750000,6.800000
2,1,-8.962999,0.278933,-1.166971,0.039416,0.750000,6.800000
0,0,-0.290092,-1.267144,1.285733,0.053441,0.750000,6.900000
1,0,-0.184185,1.732374,1.176586,-0.030969,0.750000,6.900000
2,1,-9.080507,0.279204,-1.175083,0.002717,0.750000,6.900000
0,0,-0.171343,-1.262313,1.187487,0.048318,0.750000,7.000000
1,0,-0.048824,1.743079,1.353606,0.107055,0.750000,7.000000
2,1,-9.209170,0.269550,-1.286627,-0.096549,0.750000,7.000000
0,0,-0.047852,-1.258819,1.234912,0.034934,0.750000,7.100000
1,0,0.073000,1.742254,1.218242,-0.008260,0.750000,7.100000
2,1,-9.327902,0.272900,-1.187319,0.033503,0.750000,7.100000
0,0,0.089467,-1.254405,1.373192,0.044138,0.750000,7.200000
1,0,0.207191,1.748918,1.341907,0.066642,0.750000,7.200000
2,1,-9.453074,0.269044,-1.251722,-0.038556,0.750000,7.200000
0,0,0.222505,-1.263491,1.330382,-0.090855,0.750000,7.300000
1,0,0.347977,1.755147,1.407857,0.062297,0.750000,7.300000
2,1,-9.574345,0.270461,-1.212714,0.014168,0.750000,7.300000
0,0,0.356741,-1.273992,1.342358,-0.105010,0.750000,7.400000
1,0,0.484654,1.729240,1.366774,-0.259071,0.750000,7.400000
2,1,-9.719956,0.258101,-1.456107,-0.123601,0.750000,7.400000
0,0,0.499930,-1.300606,1.431892,-0.266142,0.750000,7.500000
1,0,0.637842,1.711720,1.531878,-0.175199,0.750000,7.500000
2,1,-9.850668,0.260473,-1.307123,0.023718,0.750000,7.500000
0,0,0.639244,-1.313939,1.393138,-0.133327,0.750000,7.600000
1,0,0.793922,1.690480,1.560800,-0.212401,0.750000,7.600000
2,1,-9.969932,0.272356,-1.192636,0.118829,0.750000,7.600000
0,0,0.786874,-1.329526,1.476306,-0.155873,0.750000,7.700000
1,0,0.942115,1.667021,1.481929,-0.234592,0.750000,7.700000
2,1,-10.083102,0.266370,-1.131703,-0.059859,0.750000,7.700000
0,0,0.915598,-1.352817,1.287232,-0.232907,0.750000,7.800000
1,0,1.066640,1.637269,1.245253,-0.297524,0.750000,7.800000
2,1,-10.203005,0.283243,-1.199033,0.168732,0.750000,7.800000
0,0,1.049741,-1.374688,1.341431,-0.218707,0.750000,7.900000
1,0,1.177720,1.619857,1.110801,-0.174117,0.750000,7.900000
2,1,-10.326460,0.298320,-1.234544,0.150769,0.750000,7.900000
0,0,1.190174,-1.363643,1.404330,0.110448,0.750000,8.000000
1,0,1.286900,1.612708,1.091795,-0.071493,0.750000,8.000000
2,1,-10.437997,0.311016,-1.115371,0.126957,0.750000,8.000000
0,0,1.333055,-1.343972,1.428813,0.196711,0.750000,8.100000
1,0,1.414215,1.612524,1.273154,-0.001842,0.750000,8.100000
2,1,-10.566100,0.322543,-1.281033,0.115277,0.750000,8.100000
0,0,1.480904,-1.363193,1.478493,-0.192215,0.750000,8.200000
